#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
1,2.826252762668647e-14,-5.566946223388977e-16,-4.728612661070258e-15,Slice: Arbitrary,-3.141592653589793,INS: Deformation volume,-0.29343649797700094,-0.2981583965448,-0.2956419347480358
2,-1.2527758667953735e-13,-2.5110222495574234e-29,1.2261200425122558e-14,Slice: Arbitrary,-2.1942356306980995,INS: Deformation volume,-0.0017946758002370148,-0.5122346022613242,-0.0018047691487626685
3,3.2876149680037234e-14,0.0,-4.716187412069335e-15,Slice: Arbitrary,-1.254566712627297,INS: Deformation volume,0.29083039633458535,-0.30325649064862037,0.2930202345753722
4,-4.82858355338967e-14,-2.5110222495574234e-29,-3.255576695969414e-15,Slice: Arbitrary,-0.7913192152250422,INS: Deformation volume,0.35530409293073845,-0.08954634633178199,0.35797753439542007
5,2.2999590201997457e-14,4.708166717920169e-30,-3.2582001178102475e-15,Slice: Arbitrary,-0.7729673795346089,INS: Deformation volume,0.3564023724432838,-0.0802771082069118,0.3590840089293939
6,-4.330167173543246e-13,-7.846944529866948e-29,-2.399957812641085e-15,Slice: Arbitrary,-0.6229752724984342,INS: Deformation volume,0.36085203760759355,-0.0037768067031933627,0.36356663998241495
7,9.970787539094073e-14,3.138777811946779e-29,-3.233980842107577e-15,Slice: Arbitrary,-0.4780243902221914,INS: Deformation volume,0.3574485774225411,0.0702527426585651,0.3601370677421057
8,-3.7101126203201595e-14,-9.416333435840338e-30,-3.2255165672732426e-15,Slice: Arbitrary,-0.45300314407738135,INS: Deformation volume,0.3560985902550106,0.08292555399967798,0.3587768421886937
9,2.7939967952767617e-14,-1.2555111247787117e-29,-4.7414431892333355e-15,Slice: Arbitrary,0.027655972071317425,INS: Deformation volume,0.28800403286471443,0.3086938830522799,0.29016852873515986
10,-1.831342314282965e-13,8.788577873450981e-29,1.2263327268491203e-14,Slice: Arbitrary,0.9445287062989264,INS: Deformation volume,0.002371291039959711,0.5122364773479031,0.0023857220727141935
11,3.035818055594708e-14,0.0,-4.7156970753226664e-15,Slice: Arbitrary,1.8888081673713557,INS: Deformation volume,-0.29092412872489426,0.30307269886950366,-0.2931146454114899
12,-9.077988422374e-15,1.2555111247787117e-29,-3.228118036158833e-15,Slice: Arbitrary,2.3789834769383646,INS: Deformation volume,-0.3570217200067989,0.07455720810723226,-0.3597079765194209
