#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
1,2.118980743502744e-15,1.3449090519226562e-16,-3.9268912322872923e-16,Slice: Arbitrary,-3.141592653589793,INS: Deformation volume,-0.29397554864515857,-0.2939754294358691,-0.2970694873391478
2,9.245344598224091e-17,2.3126057704559812e-15,3.9330478220756327e-16,Slice: Arbitrary,-2.5446899067041535,INS: Deformation volume,-0.11417815479024232,-0.11417796720342625,-0.48474162359304224
3,-1.5624816353126255e-14,-4.708166717920169e-30,8.942919449482699e-16,Slice: Arbitrary,-2.196132758631884,INS: Deformation volume,-0.0027097025429389317,-0.0027095032632483257,-0.51095607197674
4,4.475739382529082e-15,-1.2862950843296845e-15,6.032014138786095e-16,Slice: Arbitrary,-1.9814265251037073,INS: Deformation volume,0.08175688367882356,0.08175708036921542,-0.4976542318150596
5,-1.522268754255406e-14,-2.0941666817928232e-16,-2.4491009146284444e-16,Slice: Arbitrary,-1.5391021081235443,INS: Deformation volume,0.22384486857641542,0.2238450221086553,-0.4012227408985122
6,2.3833573605029764e-15,0.0,-3.957146797998894e-16,Slice: Arbitrary,-1.1755097426255479,INS: Deformation volume,0.30727361924664326,0.30727373151119036,-0.26888444836386477
7,-1.467995516469776e-15,0.0,-3.6803836132115364e-16,Slice: Arbitrary,-0.8707988834729438,INS: Deformation volume,0.34992499313851366,0.34992502296788736,-0.12728522158458877
8,5.4143400450410197e-14,2.712100203135264e-29,-3.861554474351126e-16,Slice: Arbitrary,-0.714714068841292,INS: Deformation volume,0.3596862796223723,0.35968628900094546,-0.04839679227512694
9,-9.146201614278458e-14,-4.55122782732283e-29,-2.558820834817804e-16,Slice: Arbitrary,-0.627187797423622,INS: Deformation volume,0.3612995255912459,0.361299533828519,-0.004566335021223505
10,4.523506021257622e-14,1.49091946067472e-29,-3.826342894493674e-16,Slice: Arbitrary,-0.535668136489742,INS: Deformation volume,0.36016719221327254,0.3601671868366298,0.04055494214969342
11,-1.962112010833509e-15,-7.846944529866948e-31,-3.6944032222428585e-16,Slice: Arbitrary,-0.3708605322757621,INS: Deformation volume,0.3505655737015191,0.3505655171906446,0.12369854827302776
12,1.1845787711439809e-14,9.808680662333684e-31,-3.9822689295579306e-16,Slice: Arbitrary,-0.02850118426559556,INS: Deformation volume,0.3024814930034462,0.30248137513906365,0.2801632628196675
13,-3.795089778289202e-14,1.6870930739213939e-29,8.989799841886955e-16,Slice: Arbitrary,0.9282080884014783,INS: Deformation volume,0.008762879437458978,0.008762680283574924,0.511075185774286
14,1.9415234650864065e-15,-7.846944529866948e-31,-3.958712873658936e-16,Slice: Arbitrary,1.9605385107892355,INS: Deformation volume,-0.30716112577323834,-0.30716124054803934,0.2691155646330998
15,-1.3998817522158533e-15,1.961736132466737e-30,-3.6807519808174506e-16,Slice: Arbitrary,2.2637461269958288,INS: Deformation volume,-0.35019417672112396,-0.35019423511179654,0.1257960636317506
16,3.84653186716575e-14,-6.826841740984244e-29,-3.8067864573520116e-16,Slice: Arbitrary,2.424260037899933,INS: Deformation volume,-0.3597193148886997,-0.3597193271638326,0.04863253546618041
17,2.1189807435028436e-15,1.344909051922664e-16,-3.926891232287293e-16,Slice: Arbitrary,3.141592653589793,INS: Deformation volume,-0.2939755486451586,-0.2939754294358691,-0.2970694873391477
