#,# matched,d2f/dtheta2,df/dtheta,distance,f(xyz),plane,theta,variable,x,y,z
3,1,-0.014450657944979326,0.0,0.004540488311257266,0.005756008369723802,(100) plane,-0.8344743532839618,INS: Volume,0.0,-0.0035574112735884955,2.1173625646819345
9,1,-0.019016946772044848,3.451122701240795e-18,0.004540488311257266,0.0057579668126768535,(010) plane,0.6042268606967645,INS: Volume,0.002779774483886794,0.0,2.11784600335844
7,2,-0.00752615286599879,0.0,0.008269870266066478,0.005753967836490173,(100) plane,2.2131997477807497,INS: Volume,0.0,0.00724878422028296,-2.1171358563083795
1,2,-0.011070359525768014,0.0,0.008269870266066478,0.005754135728752058,(010) plane,-2.4577824958190937,INS: Volume,-0.003980458418410623,0.0,-2.117178661969818
1,3,-0.013626468792894848,0.0,0.002204878026373604,0.005739652799153786,(100) plane,-2.4521085503759354,INS: Volume,0.0,-2.1171401383042374,0.0016274537746513822
2,3,-0.012736959370096624,0.0,0.002204878026373604,0.005738926414230859,(110) plane,-2.195357858192598,INS: Volume,-0.0005130000851629336,-2.117010622012949,-0.0005130002786043586
5,4,-0.009537948507353799,0.0,0.00663194739900699,0.005739046852983765,(100) plane,0.5731842455832539,INS: Volume,0.0,2.11708104898724,0.00761762691230663
10,4,-0.012358544258239564,3.451122701240795e-18,0.00663194739900699,0.005739230251447792,(110) plane,0.9242516238183005,INS: Volume,0.0010742238916928003,2.1171933695479375,0.0010742215736961212
7,5,-0.04743106083500151,-1.7255613506203975e-18,0.010220034925563623,0.00408783916374655,(010) plane,-0.08164830359017004,INS: Volume,1.4953101324424756,0.0,1.4945128080818328
6,5,-0.01515134281567756,-6.90224540248159e-18,0.010220034925563623,0.0040790848392939,(110) plane,-0.6287526228542843,INS: Volume,1.4970801725807317,-0.00973266208723806,1.4970801725834846
13,6,-0.006755189879287489,6.90224540248159e-18,0.012911256624500163,0.004075143719794707,(010) plane,2.9459790474297667,INS: Volume,-1.503720646917351,0.0,-1.490567176128419
14,6,-0.015413332510156938,6.90224540248159e-18,0.012911256624500163,0.004075138036766295,(110) plane,2.517907500996563,INS: Volume,-1.4971636813048699,-0.008955047126481009,-1.4971636813048699
5,1,-0.00014284495202981215,0.0,0.0038744915932912996,0.0021124177551696704,(100) plane,-0.8300861637051528,INS: Electron Density FOO,0.0,0.0037861029732524643,2.117325271061798
9,1,-0.00012847290517148169,0.0,0.0038744915932912996,0.002112419727132262,(010) plane,0.6057789006405243,INS: Electron Density FOO,0.0006435734690511605,0.0,2.1178380308226483
11,2,-6.829612376269987e-5,0.0,0.014230095205405156,0.0021123563039374188,(100) plane,2.2083224664317207,INS: Electron Density FOO,0.0,0.014229690212742004,-2.1171140142319986
1,2,-9.015158562737671e-5,0.0,0.014230095205405156,0.002112365986146867,(010) plane,-2.4553963342888223,INS: Electron Density FOO,8.768551241420883e-5,0.0,-2.1171759598145843
1,3,-4.560892806969358e-5,0.0,0.005207502398299997,0.0021124457644215817,(100) plane,-2.455880423566947,INS: Electron Density FOO,0.0,-2.117120452951876,-0.00694240931499791
2,3,-4.54648351799173e-5,0.0,0.005207502398299997,0.0021124433580262275,(110) plane,-2.1965150357635737,INS: Electron Density FOO,-0.0022449401427210728,-2.117010406662977,-0.0022449403371121246
7,4,-7.421125956549883e-5,0.0,0.036045518515314734,0.002112361942434783,(100) plane,0.5566600651012762,INS: Electron Density FOO,0.0,2.116795709074655,0.038325901909117374
10,4,-8.798060859966382e-5,0.0,0.036045518515314734,0.002112356382674344,(110) plane,0.9233587624456064,INS: Electron Density FOO,0.0023599401117132945,2.117195087665762,0.0023599376588989574
15,5,-0.000220748097535626,0.0,0.005076301856569418,0.0021032463510881594,(010) plane,2.949755512610591,INS: Electron Density FOO,-1.5002467546123601,0.0,-1.4940719607936315
14,5,-0.0004532720827506945,0.0,0.005076301856569418,0.002103245526061415,(110) plane,2.514614914273066,INS: Electron Density FOO,-1.4971683045888615,-0.00258933217134688,-1.4971683045888615
7,6,-0.0003587163486638739,0.0,0.006169519456673481,0.002103347639003713,(010) plane,-0.06878727948095989,INS: Electron Density FOO,1.4930971093080705,0.0,1.4991383049354108
6,6,-0.0005459848794483143,0.0,0.006169519456673481,0.0021033252362413824,(110) plane,-0.6261551334058398,INS: Electron Density FOO,1.497091167270822,-0.004233166502585682,1.4970911672561522
