#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
6,0.001218739311393118,2.5883420259305962e-18,0.002102491055919044,(100) plane,-0.022514477885204665,INS: Electron Density FOO,0.0,1.4646437123352987,1.542004738459791
7,-7.421125956549883e-5,0.0,0.002112361942434783,(100) plane,0.5566600651012762,INS: Electron Density FOO,0.0,2.116795709074655,0.038325901909117374
8,0.00039541156876102425,0.0,0.0021029803788924313,(100) plane,1.2781169479861965,INS: Electron Density FOO,0.0,1.581408170155239,-1.406655338013118
9,-0.00014869822135785992,0.0,0.002103234947087054,(100) plane,1.369351611343737,INS: Electron Density FOO,0.0,1.4714687228102672,-1.5228905488783786
10,0.00019191955365613903,0.0,0.0021029752264537854,(100) plane,1.4480905177976084,INS: Electron Density FOO,0.0,1.3623126416524634,-1.620565790639679
11,-6.829612376269987e-5,0.0,0.0021123563039374188,(100) plane,2.2083224664317207,INS: Electron Density FOO,0.0,0.014229690212742004,-2.1171140142319986
12,3.475572875017921e-5,0.0,0.002102873877583992,(100) plane,2.9772298834071456,INS: Electron Density FOO,0.0,-1.501373868685985,-1.494022038878866
1,-4.560892806969358e-5,0.0,0.0021124457644215817,(100) plane,-2.455880423566947,INS: Electron Density FOO,0.0,-2.117120452951876,-0.00694240931499791
2,0.00023149867029036695,0.0,0.002102921221845119,(100) plane,-1.7518870711140322,INS: Electron Density FOO,0.0,-1.597081316261561,1.3892699666572836
3,-0.00012338276358967048,0.0,0.002103113164644651,(100) plane,-1.6828247687322273,INS: Electron Density FOO,0.0,-1.4821650059750344,1.5124679013640279
4,0.00019097005536059967,0.0,0.002102856279906201,(100) plane,-1.5811761665257749,INS: Electron Density FOO,0.0,-1.4097911087476718,1.5795966805729165
5,-0.00014284495202981215,0.0,0.0021124177551696704,(100) plane,-0.8300861637051528,INS: Electron Density FOO,0.0,0.0037861029732524643,2.117325271061798
6,0.001218739311393118,2.5883420259305962e-18,0.002102491055919044,(100) plane,-0.022514477885204665,INS: Electron Density FOO,0.0,1.4646437123352987,1.542004738459791
7,-7.421125956549883e-5,0.0,0.002112361942434783,(100) plane,0.5566600651012762,INS: Electron Density FOO,0.0,2.116795709074655,0.038325901909117374
8,0.00039541156876102425,0.0,0.0021029803788924313,(100) plane,1.2781169479861965,INS: Electron Density FOO,0.0,1.581408170155239,-1.406655338013118
9,-0.00014869822135785992,0.0,0.002103234947087054,(100) plane,1.369351611343737,INS: Electron Density FOO,0.0,1.4714687228102672,-1.5228905488783786
10,0.00019191955365613903,0.0,0.0021029752264537854,(100) plane,1.4480905177976084,INS: Electron Density FOO,0.0,1.3623126416524634,-1.620565790639679
11,-6.829612376269987e-5,0.0,0.0021123563039374188,(100) plane,2.2083224664317207,INS: Electron Density FOO,0.0,0.014229690212742004,-2.1171140142319986
12,3.475572875017921e-5,0.0,0.002102873877583992,(100) plane,2.9772298834071456,INS: Electron Density FOO,0.0,-1.501373868685985,-1.494022038878866
1,-4.560892806969358e-5,0.0,0.0021124457644215817,(100) plane,-2.455880423566947,INS: Electron Density FOO,0.0,-2.117120452951876,-0.00694240931499791
2,0.00023149867029036695,0.0,0.002102921221845119,(100) plane,-1.7518870711140322,INS: Electron Density FOO,0.0,-1.597081316261561,1.3892699666572836
3,-0.00012338276358967048,0.0,0.002103113164644651,(100) plane,-1.6828247687322273,INS: Electron Density FOO,0.0,-1.4821650059750344,1.5124679013640279
4,0.00019097005536059967,0.0,0.002102856279906201,(100) plane,-1.5811761665257749,INS: Electron Density FOO,0.0,-1.4097911087476718,1.5795966805729165
5,-0.00014284495202981215,0.0,0.0021124177551696704,(100) plane,-0.8300861637051528,INS: Electron Density FOO,0.0,0.0037861029732524643,2.117325271061798
6,0.001218739311393118,2.5883420259305962e-18,0.002102491055919044,(100) plane,-0.022514477885204665,INS: Electron Density FOO,0.0,1.4646437123352987,1.542004738459791
7,-7.421125956549883e-5,0.0,0.002112361942434783,(100) plane,0.5566600651012762,INS: Electron Density FOO,0.0,2.116795709074655,0.038325901909117374
8,0.00039541156876102425,0.0,0.0021029803788924313,(100) plane,1.2781169479861965,INS: Electron Density FOO,0.0,1.581408170155239,-1.406655338013118
9,-0.00014869822135785992,0.0,0.002103234947087054,(100) plane,1.369351611343737,INS: Electron Density FOO,0.0,1.4714687228102672,-1.5228905488783786
10,0.00019191955365613903,0.0,0.0021029752264537854,(100) plane,1.4480905177976084,INS: Electron Density FOO,0.0,1.3623126416524634,-1.620565790639679
11,-6.829612376269987e-5,0.0,0.0021123563039374188,(100) plane,2.2083224664317207,INS: Electron Density FOO,0.0,0.014229690212742004,-2.1171140142319986
12,3.475572875017921e-5,0.0,0.002102873877583992,(100) plane,2.9772298834071456,INS: Electron Density FOO,0.0,-1.501373868685985,-1.494022038878866
1,-0.00010918713688485269,0.0,0.28409725781243517,(010) plane,-2.458490403514258,INS: tau FOO,-0.005176737777249691,0.0,-2.117178022582047
2,0.0003556341211510197,0.0,0.28407865786229997,(010) plane,-1.6610368599110024,INS: tau FOO,1.516639266985484,0.0,-1.4784712182253423
3,-0.0003445885426439339,0.0,0.28407990819854084,(010) plane,-1.5415020593595645,INS: tau FOO,1.6643647764741683,0.0,-1.310532730117561
4,0.0006207639882254031,8.834874115176435e-16,0.28407990699244595,(010) plane,-1.5382026589066582,INS: tau FOO,1.6649706149449561,0.0,-1.3097270617816341
5,-0.00017700907076614715,0.0,0.28409794900273394,(010) plane,-0.8513682093093814,INS: tau FOO,2.1168446361368902,0.0,0.00511987248341797
6,0.0003497945579348931,0.0,0.28407880783676465,(010) plane,-0.10348983135661387,INS: tau FOO,1.5234891537567288,0.0,1.4662854698355263
7,-0.0004800765786927227,1.6565388965955816e-16,0.284078833660555,(010) plane,-0.08751381350848166,INS: tau FOO,1.5004294316328362,0.0,1.4890264354476448
8,0.002948920699990953,0.0,0.2840779552903906,(010) plane,-0.022283337229663042,INS: tau FOO,1.551798864347882,0.0,1.4586107354644793
9,-0.00020921410040542127,0.0,0.28409730438722847,(010) plane,0.6064315501360532,INS: tau FOO,-0.00027141601394461805,0.0,2.1178328662032953
10,0.00022461125101739092,0.0,0.28407856725975,(010) plane,1.3223932198498571,INS: tau FOO,-1.5011336074360728,0.0,1.4932030601612463
11,-0.00018653220122869958,0.0,0.2840980301818907,(010) plane,2.139630689887343,INS: tau FOO,-2.1171895407512933,0.0,0.0037978370037284937
12,6.209353951955681e-5,0.0,0.28407871535388773,(010) plane,2.9453198864648353,INS: tau FOO,-1.5043268798478988,0.0,-1.4899536315169242
1,-0.00010918713688485269,0.0,0.28409725781243517,(010) plane,-2.458490403514258,INS: tau FOO,-0.005176737777249691,0.0,-2.117178022582047
2,0.0003556341211510197,0.0,0.28407865786229997,(010) plane,-1.6610368599110024,INS: tau FOO,1.516639266985484,0.0,-1.4784712182253423
3,-0.0003445885426439339,0.0,0.28407990819854084,(010) plane,-1.5415020593595645,INS: tau FOO,1.6643647764741683,0.0,-1.310532730117561
4,0.0006207639882254031,8.834874115176435e-16,0.28407990699244595,(010) plane,-1.5382026589066582,INS: tau FOO,1.6649706149449561,0.0,-1.3097270617816341
5,-0.00017700907076614715,0.0,0.28409794900273394,(010) plane,-0.8513682093093814,INS: tau FOO,2.1168446361368902,0.0,0.00511987248341797
6,0.0003497945579348931,0.0,0.28407880783676465,(010) plane,-0.10348983135661387,INS: tau FOO,1.5234891537567288,0.0,1.4662854698355263
7,-0.0004800765786927227,1.6565388965955816e-16,0.284078833660555,(010) plane,-0.08751381350848166,INS: tau FOO,1.5004294316328362,0.0,1.4890264354476448
8,0.002948920699990953,0.0,0.2840779552903906,(010) plane,-0.022283337229663042,INS: tau FOO,1.551798864347882,0.0,1.4586107354644793
9,-0.00020921410040542127,0.0,0.28409730438722847,(010) plane,0.6064315501360532,INS: tau FOO,-0.00027141601394461805,0.0,2.1178328662032953
10,0.00022461125101739092,0.0,0.28407856725975,(010) plane,1.3223932198498571,INS: tau FOO,-1.5011336074360728,0.0,1.4932030601612463
11,-0.00018653220122869958,0.0,0.2840980301818907,(010) plane,2.139630689887343,INS: tau FOO,-2.1171895407512933,0.0,0.0037978370037284937
12,6.209353951955681e-5,0.0,0.28407871535388773,(010) plane,2.9453198864648353,INS: tau FOO,-1.5043268798478988,0.0,-1.4899536315169242
1,-0.00010918713688485269,0.0,0.28409725781243517,(010) plane,-2.458490403514258,INS: tau FOO,-0.005176737777249691,0.0,-2.117178022582047
2,0.0003556341211510197,0.0,0.28407865786229997,(010) plane,-1.6610368599110024,INS: tau FOO,1.516639266985484,0.0,-1.4784712182253423
3,-0.0003445885426439339,0.0,0.28407990819854084,(010) plane,-1.5415020593595645,INS: tau FOO,1.6643647764741683,0.0,-1.310532730117561
4,0.0006207639882254031,8.834874115176435e-16,0.28407990699244595,(010) plane,-1.5382026589066582,INS: tau FOO,1.6649706149449561,0.0,-1.3097270617816341
5,-0.00017700907076614715,0.0,0.28409794900273394,(010) plane,-0.8513682093093814,INS: tau FOO,2.1168446361368902,0.0,0.00511987248341797
6,0.0003497945579348931,0.0,0.28407880783676465,(010) plane,-0.10348983135661387,INS: tau FOO,1.5234891537567288,0.0,1.4662854698355263
7,-0.0004800765786927227,1.6565388965955816e-16,0.284078833660555,(010) plane,-0.08751381350848166,INS: tau FOO,1.5004294316328362,0.0,1.4890264354476448
8,0.002948920699990953,0.0,0.2840779552903906,(010) plane,-0.022283337229663042,INS: tau FOO,1.551798864347882,0.0,1.4586107354644793
9,-0.00020921410040542127,0.0,0.28409730438722847,(010) plane,0.6064315501360532,INS: tau FOO,-0.00027141601394461805,0.0,2.1178328662032953
10,0.00022461125101739092,0.0,0.28407856725975,(010) plane,1.3223932198498571,INS: tau FOO,-1.5011336074360728,0.0,1.4932030601612463
11,-0.00018653220122869958,0.0,0.2840980301818907,(010) plane,2.139630689887343,INS: tau FOO,-2.1171895407512933,0.0,0.0037978370037284937
12,6.209353951955681e-5,0.0,0.28407871535388773,(010) plane,2.9453198864648353,INS: tau FOO,-1.5043268798478988,0.0,-1.4899536315169242
1,-0.011070359525768014,0.0,0.005754135728752058,(010) plane,-2.4577824958190937,INS: Volume,-0.003980458418410623,0.0,-2.117178661969818
2,0.021325826005620926,0.0,0.004077186693357305,(010) plane,-1.7466204396652656,INS: Volume,1.4314955887283367,0.0,-1.5594744547471235
3,-0.012611463964975615,0.0,0.004087268406228532,(010) plane,-1.6961792806251537,INS: Volume,1.497392806414997,0.0,-1.4969516664244478
4,0.024281096339816365,0.0,0.0040779806969693504,(010) plane,-1.6488726731915118,INS: Volume,1.5244743196582953,0.0,-1.4699578348325306
5,-0.011819185889603751,-1.380449080496318e-17,0.005738022578460443,(010) plane,-0.8531960876264831,INS: Volume,2.1168475039596135,0.0,0.001314021712885112
6,0.028025667495050168,1.380449080496318e-17,0.004077702855318549,(010) plane,-0.11557132216316889,INS: Volume,1.546041443474602,0.0,1.4442954574998295
7,-0.04743106083500151,-1.7255613506203975e-18,0.00408783916374655,(010) plane,-0.08164830359017004,INS: Volume,1.4953101324424756,0.0,1.4945128080818328
